linguagem,caso,n,m,rodada,ocorrencias,tempo_us
Java,melhor,1000,10,1,0,21.4000
Java,melhor,1000,10,2,0,22.8000
Java,melhor,1000,10,3,0,21.1000
Java,melhor,1000,10,4,0,21.9000
Java,melhor,1000,10,5,0,22.1000
Java,melhor,1000,10,6,0,21.7000
Java,melhor,1000,10,7,0,22.1000
Java,melhor,1000,10,8,0,21.5000
Java,melhor,1000,10,9,0,20.9000
Java,melhor,1000,10,10,0,22.0000
Java,melhor,1000,10,11,0,21.7000
Java,melhor,1000,10,12,0,22.0000
Java,melhor,1000,10,13,0,21.6000
Java,melhor,1000,10,14,0,21.8000
Java,melhor,1000,10,15,0,21.9000
Java,melhor,1000,10,16,0,22.1000
Java,melhor,1000,10,17,0,21.4000
Java,melhor,1000,10,18,0,21.9000
Java,melhor,1000,10,19,0,20.5000
Java,melhor,1000,10,20,0,20.5000
Java,melhor,1000,10,21,0,27.6000
Java,melhor,1000,10,22,0,21.5000
Java,melhor,1000,10,23,0,21.4000
Java,melhor,1000,10,24,0,21.1000
Java,melhor,1000,10,25,0,21.2000
Java,melhor,1000,10,26,0,21.4000
Java,melhor,1000,10,27,0,21.3000
Java,melhor,1000,10,28,0,21.0000
Java,melhor,1000,10,29,0,21.8000
Java,melhor,1000,10,30,0,20.4000
Java,melhor,10000,100,1,0,51.4000
Java,melhor,10000,100,2,0,54.4000
Java,melhor,10000,100,3,0,58.3000
Java,melhor,10000,100,4,0,61.1000
Java,melhor,10000,100,5,0,61.6000
Java,melhor,10000,100,6,0,47.2000
Java,melhor,10000,100,7,0,44.8000
Java,melhor,10000,100,8,0,44.6000
Java,melhor,10000,100,9,0,45.4000
Java,melhor,10000,100,10,0,63.7000
Java,melhor,10000,100,11,0,44.5000
Java,melhor,10000,100,12,0,45.0000
Java,melhor,10000,100,13,0,90.0000
Java,melhor,10000,100,14,0,88.5000
Java,melhor,10000,100,15,0,46.1000
Java,melhor,10000,100,16,0,44.7000
Java,melhor,10000,100,17,0,44.8000
Java,melhor,10000,100,18,0,54.1000
Java,melhor,10000,100,19,0,45.8000
Java,melhor,10000,100,20,0,44.9000
Java,melhor,10000,100,21,0,45.2000
Java,melhor,10000,100,22,0,44.9000
Java,melhor,10000,100,23,0,45.1000
Java,melhor,10000,100,24,0,45.4000
Java,melhor,10000,100,25,0,45.1000
Java,melhor,10000,100,26,0,44.9000
Java,melhor,10000,100,27,0,45.0000
Java,melhor,10000,100,28,0,42.9000
Java,melhor,10000,100,29,0,42.6000
Java,melhor,10000,100,30,0,51.7000
Java,melhor,100000,1000,1,0,180.8000
Java,melhor,100000,1000,2,0,182.6000
Java,melhor,100000,1000,3,0,202.4000
Java,melhor,100000,1000,4,0,113.4000
Java,melhor,100000,1000,5,0,116.2000
Java,melhor,100000,1000,6,0,135.4000
Java,melhor,100000,1000,7,0,157.7000
Java,melhor,100000,1000,8,0,101.6000
Java,melhor,100000,1000,9,0,108.9000
Java,melhor,100000,1000,10,0,108.9000
Java,melhor,100000,1000,11,0,111.5000
Java,melhor,100000,1000,12,0,108.1000
Java,melhor,100000,1000,13,0,114.0000
Java,melhor,100000,1000,14,0,116.4000
Java,melhor,100000,1000,15,0,98.9000
Java,melhor,100000,1000,16,0,97.6000
Java,melhor,100000,1000,17,0,106.0000
Java,melhor,100000,1000,18,0,98.7000
Java,melhor,100000,1000,19,0,105.4000
Java,melhor,100000,1000,20,0,98.3000
Java,melhor,100000,1000,21,0,115.5000
Java,melhor,100000,1000,22,0,99.4000
Java,melhor,100000,1000,23,0,98.9000
Java,melhor,100000,1000,24,0,97.4000
Java,melhor,100000,1000,25,0,104.7000
Java,melhor,100000,1000,26,0,99.0000
Java,melhor,100000,1000,27,0,92.8000
Java,melhor,100000,1000,28,0,89.1000
Java,melhor,100000,1000,29,0,93.1000
Java,melhor,100000,1000,30,0,89.1000
Java,medio,1000,10,1,0,5.5000
Java,medio,1000,10,2,0,5.7000
Java,medio,1000,10,3,0,41.3000
Java,medio,1000,10,4,0,5.8000
Java,medio,1000,10,5,0,5.7000
Java,medio,1000,10,6,0,5.5000
Java,medio,1000,10,7,0,5.6000
Java,medio,1000,10,8,0,5.5000
Java,medio,1000,10,9,0,5.6000
Java,medio,1000,10,10,0,5.5000
Java,medio,1000,10,11,0,24.2000
Java,medio,1000,10,12,0,5.6000
Java,medio,1000,10,13,0,5.4000
Java,medio,1000,10,14,0,5.4000
Java,medio,1000,10,15,0,5.4000
Java,medio,1000,10,16,0,5.4000
Java,medio,1000,10,17,0,5.5000
Java,medio,1000,10,18,0,17.0000
Java,medio,1000,10,19,0,20.3000
Java,medio,1000,10,20,0,7.3000
Java,medio,1000,10,21,0,5.7000
Java,medio,1000,10,22,0,5.6000
Java,medio,1000,10,23,0,5.4000
Java,medio,1000,10,24,0,5.5000
Java,medio,1000,10,25,0,5.4000
Java,medio,1000,10,26,0,5.6000
Java,medio,1000,10,27,0,17.0000
Java,medio,1000,10,28,0,5.7000
Java,medio,1000,10,29,0,5.6000
Java,medio,1000,10,30,0,5.5000
Java,medio,10000,100,1,0,52.3000
Java,medio,10000,100,2,0,53.7000
Java,medio,10000,100,3,0,53.4000
Java,medio,10000,100,4,0,53.3000
Java,medio,10000,100,5,0,240.2000
Java,medio,10000,100,6,0,210.0000
Java,medio,10000,100,7,0,70.4000
Java,medio,10000,100,8,0,63.8000
Java,medio,10000,100,9,0,73.1000
Java,medio,10000,100,10,0,69.5000
Java,medio,10000,100,11,0,112.7000
Java,medio,10000,100,12,0,65.9000
Java,medio,10000,100,13,0,53.3000
Java,medio,10000,100,14,0,52.9000
Java,medio,10000,100,15,0,53.0000
Java,medio,10000,100,16,0,53.8000
Java,medio,10000,100,17,0,51.4000
Java,medio,10000,100,18,0,81.7000
Java,medio,10000,100,19,0,50.6000
Java,medio,10000,100,20,0,50.2000
Java,medio,10000,100,21,0,50.2000
Java,medio,10000,100,22,0,49.8000
Java,medio,10000,100,23,0,50.5000
Java,medio,10000,100,24,0,50.2000
Java,medio,10000,100,25,0,50.4000
Java,medio,10000,100,26,0,50.2000
Java,medio,10000,100,27,0,50.1000
Java,medio,10000,100,28,0,51.6000
Java,medio,10000,100,29,0,52.5000
Java,medio,10000,100,30,0,52.9000
Java,medio,100000,1000,1,0,317.8000
Java,medio,100000,1000,2,0,252.9000
Java,medio,100000,1000,3,0,260.5000
Java,medio,100000,1000,4,0,284.0000
Java,medio,100000,1000,5,0,249.7000
Java,medio,100000,1000,6,0,274.5000
Java,medio,100000,1000,7,0,255.2000
Java,medio,100000,1000,8,0,253.1000
Java,medio,100000,1000,9,0,278.4000
Java,medio,100000,1000,10,0,239.0000
Java,medio,100000,1000,11,0,235.4000
Java,medio,100000,1000,12,0,298.7000
Java,medio,100000,1000,13,0,246.2000
Java,medio,100000,1000,14,0,373.0000
