linguagem,caso,n,m,rodada,ocorrencias,tempo_us
Python,melhor,1000,10,1,0,76.6000
Python,melhor,1000,10,2,0,80.6000
Python,melhor,1000,10,3,0,74.9000
Python,melhor,1000,10,4,0,74.3000
Python,melhor,1000,10,5,0,75.9000
Python,melhor,1000,10,6,0,73.7000
Python,melhor,1000,10,7,0,72.3000
Python,melhor,1000,10,8,0,73.6000
Python,melhor,1000,10,9,0,74.7000
Python,melhor,1000,10,10,0,72.2000
Python,melhor,1000,10,11,0,71.9000
Python,melhor,1000,10,12,0,70.3000
Python,melhor,1000,10,13,0,71.2000
Python,melhor,1000,10,14,0,70.6000
Python,melhor,1000,10,15,0,72.1000
Python,melhor,1000,10,16,0,75.0000
Python,melhor,1000,10,17,0,127.1000
Python,melhor,1000,10,18,0,74.8000
Python,melhor,1000,10,19,0,71.9000
Python,melhor,1000,10,20,0,72.9000
Python,melhor,1000,10,21,0,71.4000
Python,melhor,1000,10,22,0,71.6000
Python,melhor,1000,10,23,0,73.2000
Python,melhor,1000,10,24,0,71.9000
Python,melhor,1000,10,25,0,72.3000
Python,melhor,1000,10,26,0,72.3000
Python,melhor,1000,10,27,0,71.3000
Python,melhor,1000,10,28,0,69.1000
Python,melhor,1000,10,29,0,69.2000
Python,melhor,1000,10,30,0,70.1000
Python,melhor,10000,100,1,0,970.7000
Python,melhor,10000,100,2,0,816.0000
Python,melhor,10000,100,3,0,796.4000
Python,melhor,10000,100,4,0,743.8000
Python,melhor,10000,100,5,0,803.3000
Python,melhor,10000,100,6,0,748.7000
Python,melhor,10000,100,7,0,761.6000
Python,melhor,10000,100,8,0,730.0000
Python,melhor,10000,100,9,0,716.3000
Python,melhor,10000,100,10,0,747.9000
Python,melhor,10000,100,11,0,758.4000
Python,melhor,10000,100,12,0,744.9000
Python,melhor,10000,100,13,0,748.1000
Python,melhor,10000,100,14,0,739.7000
Python,melhor,10000,100,15,0,735.5000
Python,melhor,10000,100,16,0,681.2000
Python,melhor,10000,100,17,0,776.6000
Python,melhor,10000,100,18,0,734.2000
Python,melhor,10000,100,19,0,704.2999
Python,melhor,10000,100,20,0,902.7000
Python,melhor,10000,100,21,0,813.7000
Python,melhor,10000,100,22,0,1089.0000
Python,melhor,10000,100,23,0,1120.6000
Python,melhor,10000,100,24,0,875.9000
Python,melhor,10000,100,25,0,967.4000
Python,melhor,10000,100,26,0,755.1000
Python,melhor,10000,100,27,0,722.8000
Python,melhor,10000,100,28,0,772.4000
Python,melhor,10000,100,29,0,747.9000
Python,melhor,10000,100,30,0,750.9000
Python,melhor,100000,1000,1,0,6895.9000
Python,melhor,100000,1000,2,0,8860.3999
Python,melhor,100000,1000,3,0,7419.4000
Python,melhor,100000,1000,4,0,8477.4000
Python,melhor,100000,1000,5,0,7519.2000
Python,melhor,100000,1000,6,0,9434.8000
Python,melhor,100000,1000,7,0,7301.7000
Python,melhor,100000,1000,8,0,12560.0000
Python,melhor,100000,1000,9,0,7069.8000
Python,melhor,100000,1000,10,0,8181.5000
Python,melhor,100000,1000,11,0,7505.0000
Python,melhor,100000,1000,12,0,8686.1000
Python,melhor,100000,1000,13,0,7495.6000
Python,melhor,100000,1000,14,0,8872.5000
Python,melhor,100000,1000,15,0,7270.2000
Python,melhor,100000,1000,16,0,8598.4000
Python,melhor,100000,1000,17,0,6967.8000
Python,melhor,100000,1000,18,0,8493.4000
Python,melhor,100000,1000,19,0,7331.0000
Python,melhor,100000,1000,20,0,7831.9000
Python,melhor,100000,1000,21,0,7526.8000
Python,melhor,100000,1000,22,0,7671.0000
Python,melhor,100000,1000,23,0,7664.5000
Python,melhor,100000,1000,24,0,7089.8000
Python,melhor,100000,1000,25,0,8380.3000
Python,melhor,100000,1000,26,0,7195.6000
Python,melhor,100000,1000,27,0,8589.0000
Python,melhor,100000,1000,28,0,7490.1000
Python,melhor,100000,1000,29,0,8325.5000
Python,melhor,100000,1000,30,0,7413.5000
Python,medio,1000,10,1,0,74.1000
Python,medio,1000,10,2,0,77.3000
Python,medio,1000,10,3,0,76.6000
Python,medio,1000,10,4,0,73.5000
Python,medio,1000,10,5,0,73.8000
Python,medio,1000,10,6,0,75.1000
Python,medio,1000,10,7,0,74.9000
Python,medio,1000,10,8,0,74.3000
Python,medio,1000,10,9,0,76.3000
Python,medio,1000,10,10,0,77.6000
Python,medio,1000,10,11,0,77.9000
Python,medio,1000,10,12,0,80.4000
Python,medio,1000,10,13,0,77.7000
Python,medio,1000,10,14,0,79.6000
Python,medio,1000,10,15,0,74.9000
Python,medio,1000,10,16,0,94.3000
Python,medio,1000,10,17,0,75.8000
Python,medio,1000,10,18,0,76.6000
Python,medio,1000,10,19,0,78.1000
Python,medio,1000,10,20,0,76.1000
Python,medio,1000,10,21,0,516.1000
Python,medio,1000,10,22,0,83.9000
Python,medio,1000,10,23,0,81.7000
Python,medio,1000,10,24,0,82.4000
Python,medio,1000,10,25,0,78.5000
Python,medio,1000,10,26,0,79.7000
Python,medio,1000,10,27,0,75.4000
Python,medio,1000,10,28,0,77.6000
Python,medio,1000,10,29,0,157.5000
Python,medio,1000,10,30,0,261.2000
Python,medio,10000,100,1,0,765.5000
Python,medio,10000,100,2,0,830.0000
Python,medio,10000,100,3,0,843.1000
Python,medio,10000,100,4,0,827.8000
Python,medio,10000,100,5,0,822.3000
Python,medio,10000,100,6,0,824.6000
Python,medio,10000,100,7,0,843.3000
Python,medio,10000,100,8,0,717.5000
Python,medio,10000,100,9,0,736.2000
Python,medio,10000,100,10,0,812.9000
Python,medio,10000,100,11,0,765.8000
Python,medio,10000,100,12,0,873.1000
Python,medio,10000,100,13,0,1359.3000
Python,medio,10000,100,14,0,981.3000
Python,medio,10000,100,15,0,914.6000
Python,medio,10000,100,16,0,860.8000
Python,medio,10000,100,17,0,734.8000
Python,medio,10000,100,18,0,743.0000
Python,medio,10000,100,19,0,714.5000
Python,medio,10000,100,20,0,738.1000
Python,medio,10000,100,21,0,809.0000
Python,medio,10000,100,22,0,759.5000
Python,medio,10000,100,23,0,719.2000
Python,medio,10000,100,24,0,748.9001
Python,medio,10000,100,25,0,818.3000
Python,medio,10000,100,26,0,735.9000
Python,medio,10000,100,27,0,723.9000
Python,medio,10000,100,28,0,728.7000
Python,medio,10000,100,29,0,735.7000
Python,medio,10000,100,30,0,718.5000
Python,medio,100000,1000,1,0,7913.8000
Python,medio,100000,1000,2,0,9068.0000
Python,medio,100000,1000,3,0,7872.0000
Python,medio,100000,1000,4,0,13255.2000
Python,medio,100000,1000,5,0,25265.6000
Python,medio,100000,1000,6,0,14666.6000
Python,medio,100000,1000,7,0,11501.8000
Python,medio,100000,1000,8,0,8349.2000
Python,medio,100000,1000,9,0,10060.6000
Python,medio,100000,1000,10,0,8431.1000
Python,medio,100000,1000,11,0,10794.2000
Python,medio,100000,1000,12,0,8481.6000
Python,medio,100000,1000,13,0,7624.1000
Python,medio,100000,1000,14,0,8543.4000
Python,medio,100000,1000,15,0,7620.7000
Python,medio,100000,1000,16,0,8264.1000
Python,medio,100000,1000,17,0,7834.6000
Python,medio,100000,1000,18,0,9137.0000
Python,medio,100000,1000,19,0,7843.1000
Python,medio,100000,1000,20,0,9369.5000
Python,medio,100000,1000,21,0,7765.4000
Python,medio,100000,1000,22,0,8867.5000
Python,medio,100000,1000,23,0,7956.9000
Python,medio,100000,1000,24,0,8861.5000
Python,medio,100000,1000,25,0,8095.2000
Python,medio,100000,1000,26,0,8813.5000
Python,medio,100000,1000,27,0,7900.9000
Python,medio,100000,1000,28,0,8971.8000
Python,medio,100000,1000,29,0,7748.6000
Python,medio,100000,1000,30,0,8578.3000
Python,pior,1000,10,1,0,93.8000
Python,pior,1000,10,2,0,97.4000
Python,pior,1000,10,3,0,95.0000
Python,pior,1000,10,4,0,92.0000
Python,pior,1000,10,5,0,93.4000
Python,pior,1000,10,6,0,94.0000
Python,pior,1000,10,7,0,116.9000
Python,pior,1000,10,8,0,98.5001
Python,pior,1000,10,9,0,99.3000
Python,pior,1000,10,10,0,93.2000
Python,pior,1000,10,11,0,98.3000
Python,pior,1000,10,12,0,95.6000
Python,pior,1000,10,13,0,141.2000
Python,pior,1000,10,14,0,105.9000
Python,pior,1000,10,15,0,98.2000
Python,pior,1000,10,16,0,94.6000
Python,pior,1000,10,17,0,94.6000
Python,pior,1000,10,18,0,94.9000
Python,pior,1000,10,19,0,118.7000
Python,pior,1000,10,20,0,96.2000
Python,pior,1000,10,21,0,92.7000
Python,pior,1000,10,22,0,99.8000
Python,pior,1000,10,23,0,97.8000
Python,pior,1000,10,24,0,92.8000
Python,pior,1000,10,25,0,100.9000
Python,pior,1000,10,26,0,97.3000
Python,pior,1000,10,27,0,142.4000
Python,pior,1000,10,28,0,101.8000
Python,pior,1000,10,29,0,97.5000
Python,pior,1000,10,30,0,112.8000
Python,pior,10000,100,1,0,978.5000
Python,pior,10000,100,2,0,1639.2000
Python,pior,10000,100,3,0,1279.4000
Python,pior,10000,100,4,0,934.9000
Python,pior,10000,100,5,0,999.4000
Python,pior,10000,100,6,0,935.5000
Python,pior,10000,100,7,0,980.6000
Python,pior,10000,100,8,0,981.5000
Python,pior,10000,100,9,0,959.7000
Python,pior,10000,100,10,0,958.7000
Python,pior,10000,100,11,0,945.4000
Python,pior,10000,100,12,0,936.1000
Python,pior,10000,100,13,0,1024.5000
Python,pior,10000,100,14,0,956.3000
Python,pior,10000,100,15,0,984.9000
Python,pior,10000,100,16,0,930.8000
Python,pior,10000,100,17,0,989.9000
Python,pior,10000,100,18,0,1338.5000
Python,pior,10000,100,19,0,1297.6000
Python,pior,10000,100,20,0,1035.5000
Python,pior,10000,100,21,0,1044.0000
Python,pior,10000,100,22,0,994.4000
Python,pior,10000,100,23,0,1052.2000
Python,pior,10000,100,24,0,939.3000
Python,pior,10000,100,25,0,962.2000
Python,pior,10000,100,26,0,932.7000
Python,pior,10000,100,27,0,973.9000
Python,pior,10000,100,28,0,915.0000
Python,pior,10000,100,29,0,918.1000
Python,pior,10000,100,30,0,926.5000
Python,pior,100000,1000,1,0,10570.7000
Python,pior,100000,1000,2,0,11388.5000
Python,pior,100000,1000,3,0,11605.8000
Python,pior,100000,1000,4,0,10514.6000
Python,pior,100000,1000,5,0,11005.6000
Python,pior,100000,1000,6,0,10883.2000
Python,pior,100000,1000,7,0,10711.8000
Python,pior,100000,1000,8,0,11400.3000
Python,pior,100000,1000,9,0,11259.3000
Python,pior,100000,1000,10,0,10045.5999
Python,pior,100000,1000,11,0,11285.4000
Python,pior,100000,1000,12,0,11875.7000
Python,pior,100000,1000,13,0,10795.1000
Python,pior,100000,1000,14,0,11393.7000
Python,pior,100000,1000,15,0,11462.9000
Python,pior,100000,1000,16,0,10189.6000
Python,pior,100000,1000,17,0,11610.6000
Python,pior,100000,1000,18,0,11038.1000
Python,pior,100000,1000,19,0,10875.9000
Python,pior,100000,1000,20,0,11441.5000
Python,pior,100000,1000,21,0,11117.9000
Python,pior,100000,1000,22,0,10102.4000
Python,pior,100000,1000,23,0,11579.8000
Python,pior,100000,1000,24,0,11376.4000
Python,pior,100000,1000,25,0,10326.1000
Python,pior,100000,1000,26,0,12134.4000
Python,pior,100000,1000,27,0,12122.0000
Python,pior,100000,1000,28,0,11519.9000
Python,pior,100000,1000,29,0,12043.1000
Python,pior,100000,1000,30,0,12171.4000
